rank,title,severity,surface,effort,effort_days,pxl_score,pxl_max,verified,impact,summary,problem,recommended_change,evidence,analysts_agreeing,opportunity_low,opportunity_high,opportunity_basis,sample_per_variant,test_days,detail_page
1,Pricing appears only after qualification flow,HIGH,Homepage,Medium,2-5 days,5,10,no,conversion,"No pricing is shown until the visitor completes the coverage/qualification form, so cost is discovered late in the journey.","No pricing is shown until the visitor completes the coverage/qualification form, so cost is discovered late in the journey.",h1: Plans and Pricing; cta: See Plans; notes: Display starting prices or price range before qualification form.,h1: Let's Get You the Right Internet | ctas: CHECK COVERAGE | CHECK IF IT WORKS AT MY ADDRESS | SEE MY OPTIONS | GET STARTED | START CHAT | SEE WHAT I QUALIFY FOR | CHECK MY COVERAGE | form: submit=CONTINUE (field extraction is unreliable on this site — raw HTML carries 5 field(s); do not claim fields or labels are missing),Pricing & Cost Transparency,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_1_pricing_appears_only_after_qualification_flow.html
2,Value proposition lacks specifics,HIGH,Homepage,Low,0.5-2 days,5,10,no,conversion,"The hero headline promises reliability anywhere but fails to state what is sold or why it is better, leaving visitors without concrete reasons to convert.","The hero headline promises reliability anywhere but fails to state what is sold or why it is better, leaving visitors without concrete reasons to convert.",h1: Wireless Home Internet That Works Anywhere in the U.S.; cta: See Plans; notes: State product and specific differentiator like rural coverage or no contracts.,h1: Reliable Internet That Works Anywhere in the U.S. | h1: Internet That Just Works,Message Clarity,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_2_value_proposition_lacks_specifics.html
3,Social proof concentrated on homepage,HIGH,Pricing & Plans,Medium,2-5 days,5,10,no,trust,"Customer testimonials and press mentions appear only on the homepage and rural-internet page, not on plans pages where purchase decisions are made.","Customer testimonials and press mentions appear only on the homepage and rural-internet page, not on plans pages where purchase decisions are made.",h1: Plans; cta: Check Coverage; notes: Add testimonials and press logos near pricing and CTAs.,h2: Real Stories from Real Users | h2: As Featured In: | h2: Real Stories from Real Users,Trust & Social Proof,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_3_social_proof_concentrated_on_homepage.html
4,Heavy third-party script load,HIGH,Performance,Medium,2-5 days,5,10,yes,conversion,"The homepage loads 65 scripts, which is the usual root cause of slow interaction readiness on mobile.","The homepage loads 65 scripts, which is the usual root cause of slow interaction readiness on mobile.","notes: Audit third-party tags, defer non-critical scripts, and remove duplicated analytics or marketing pixels.","Measured on the live homepage: 33 inline and 32 external <script> tags, 403 KB of HTML.",Technical & Accessibility,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_4_heavy_third_party_script_load.html
5,Multiple competing primary CTAs,MEDIUM,Homepage,Medium,2-5 days,5,10,no,conversion,"Seven distinct calls to action on the homepage create ambiguity about the intended next step, diluting focus.","Seven distinct calls to action on the homepage create ambiguity about the intended next step, diluting focus.",h1: Let's Get You the Right Internet; cta: Check Coverage; notes: Consolidate to one primary CTA; relegate chat/support to secondary placement.,ctas: CHECK COVERAGE | CHECK IF IT WORKS AT MY ADDRESS | SEE MY OPTIONS | GET STARTED | START CHAT | SEE WHAT I QUALIFY FOR | CHECK MY COVERAGE,"Funnel Path, Form & Interaction Friction",0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_5_multiple_competing_primary_ctas.html
6,Multiple qualification CTAs compete,MEDIUM,Homepage,Medium,2-5 days,5,10,no,conversion,"Multiple qualification and coverage CTAs on the same viewport overload visitors with choices, delaying the primary conversion path.","Multiple qualification and coverage CTAs on the same viewport overload visitors with choices, delaying the primary conversion path.",h1: Let's Get You the Right Internet; cta: Check Coverage; notes: Reduce to one primary qualification CTA per viewport.,ctas: CHECK COVERAGE | CHECK IF IT WORKS AT MY ADDRESS | SEE MY OPTIONS | GET STARTED | START CHAT | SEE WHAT I QUALIFY FOR | CHECK MY COVERAGE | ctas: CHECK COVERAGE | Watch on | SEE WHAT I QUALIFY FOR | START CHAT | CHECK MY COVERAGE,Form & Interaction Friction,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_6_multiple_qualification_ctas_compete.html
7,Coverage gate precedes plan selection,URGENT,Pricing & Plans,Medium,2-5 days,4,10,no,conversion,"Users are forced through a coverage check before seeing any plan details or pricing, adding an unnecessary step before the core decision.","Users are forced through a coverage check before seeing any plan details or pricing, adding an unnecessary step before the core decision.",h1: Plans and Pricing; cta: See Plans; notes: Allow browsing plans and pricing without mandatory coverage check; make coverage check optional.,ctas: CHECK COVERAGE | CHECK IF IT WORKS AT MY ADDRESS | SEE MY OPTIONS | GET STARTED | START CHAT | SEE WHAT I QUALIFY FOR | CHECK MY COVERAGE | h1: Let's Get You the Right Internet,Funnel Path,0.4,1.6,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 2.0-8.0% relative lift",124891,,finding_7_coverage_gate_precedes_plan_selection.html
8,Duplicate coverage form on page,MEDIUM,Pricing & Plans,Medium,2-5 days,4,10,no,conversion,"The coverage check form appears twice on the same page, forcing visitors to encounter duplicate interaction points and potentially submit the same information twice.","The coverage check form appears twice on the same page, forcing visitors to encounter duplicate interaction points and potentially submit the same information twice.",h1: Let's Get You the Right Internet; cta: CONTINUE; notes: Consolidate to a single coverage form per page.,form: submit=CONTINUE (field extraction is unreliable on this site — raw HTML carries 5 field(s); do not claim fields or labels are missing) | form: submit=CONTINUE (field extraction is unreliable on this site — raw HTML carries 5 field(s); do not claim fields or labels are missing),Form & Interaction Friction,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_8_duplicate_coverage_form_on_page.html
9,Inconsistent price formatting across pages,MEDIUM,Pricing & Plans,Medium,2-5 days,4,10,no,conversion,"Price display formats vary across plan pages (e.g., '/month' vs 'one-time', inconsistent currency formatting), causing confusion.","Price display formats vary across plan pages (e.g., '/month' vs 'one-time', inconsistent currency formatting), causing confusion.","h1: Plans; cta: Check Coverage; notes: Standardize price display format (e.g., always use '/month' and consistent currency).",h2: $99.95 /month | h2: $129.95 /month | h2: $0.00 (one-time) | h2: $99.99 (one-time) | prices: $99.95/month $129.95/month $99.95/mo $0.00 $99.95 $99.99,Pricing & Cost Transparency,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_9_inconsistent_price_formatting_across_pages.html
10,Guarantee signal lacks placement context,MEDIUM,/Pages/Rural-Internet,Low,0.5-2 days,3,10,no,trust,"A confidence-related heading exists on the rural-internet page but no equivalent appears on the plans pages, leaving shoppers without reassurance at the point of commitment.","A confidence-related heading exists on the rural-internet page but no equivalent appears on the plans pages, leaving shoppers without reassurance at the point of commitment.",h1: Plans; cta: Check Coverage; notes: Replicate SHOP WITH CONFIDENCE section on plans pages.,h2: SHOP WITH CONFIDENCE,Trust & Social Proof,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_10_guarantee_signal_lacks_placement_context.html
